Abbreviation,x,y,z
EV1 - L,-4,-86,4
EV1 - R,10,-94,4
EV2 - L,-4,-86,-6
EV2 - R,4,-90,-10
OccFus - L,-32,-80,-14
OccFus - R,22,-80,-12
pFus - L,-36,-60,-14
pFus - R,28,-72,-14
mFus - L,-34,-44,-18
mFus - R,38,-38,-24
pMTG - L,-66,-48,4
pMTG - R,62,-44,0
aFus - R,40,-14,-28
mMTG - L,-64,-30,-8
mMTG - R,60,-34,-2
aMTG - L,-58,0,-24
aMTG - R,62,-14,-12
IFG1 - L,-50,40,-8
IFG2 - L,-38,46,2
IFG2 - R,46,26,-2
TPJ - L,-58,-58,28
TPJ - R,50,-54,30
MPFC - L,-8,48,-8
MPFC - R,14,44,12
dPreCun - L,-6,-66,50
dPreCun - R,6,-64,50
mPreCun - L,-10,-56,34
mPreCun - R,4,-66,32
vPreCun - L,-8,-54,20
vPreCun - R,8,-54,22
